"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000284602.1_3",16,28,35,39
"ENSG00000117616.17_4",406,477,501,446
"ENSG00000261349.1_5",21,15,23,19
"ENSG00000224183.1_4",0,8,4,3
"ENSG00000259984.1_5",29,29,26,32
"ENSG00000183726.10_2",1454,1617,1485,1334
"ENSG00000238084.4_5",5,5,2,2
"ENSG00000204178.10_3",854,1025,739,693
"ENSG00000157978.11_2",383,456,539,429
"ENSG00000117643.14_3",14,10,10,17
"ENSG00000162430.16_5",2025,2021,2343,2383
"ENSG00000228172.5_5",24,18,35,21
"ENSG00000117640.17_3",411,425,587,510
"ENSG00000127423.10_3",174,212,53,45
"ENSG00000182749.5_3",410,524,438,388
"ENSG00000117632.22_3",3482,3925,1018,1042
"ENSG00000158006.13_2",318,373,410,385
"ENSG00000158008.9_2",3,4,21,23
"ENSG00000175087.9_4",130,118,122,151
"ENSG00000142684.8_3",172,223,157,152
"ENSG00000142675.17_2",202,242,192,201
"ENSG00000236155.6_5",52,45,50,47
"ENSG00000130695.15_4",596,659,406,384
"ENSG00000142669.14_3",1763,1561,1186,1486
"ENSG00000158062.20_4",295,397,216,197
"ENSG00000169442.8_2",14,8,5,8
"ENSG00000176092.15_4",28,51,35,30
"ENSG00000131914.10_2",17,4,5,3
"ENSG00000117682.16_2",680,776,760,771
"ENSG00000225891.1_5",5,4,8,5
"ENSG00000198830.10_2",1469,1818,504,500
"ENSG00000117676.13_4",503,639,313,296
"ENSG00000260063.1_5",5,5,8,16
"ENSG00000117713.19_4",5436,5604,4182,4238
"ENSG00000060642.10_4",221,212,244,227
"ENSG00000204160.11_4",451,499,557,459
"ENSG00000175793.11_3",247,258,98,78
"ENSG00000142751.14_2",458,484,398,361
"ENSG00000198746.12_3",238,308,203,220
"ENSG00000090273.13_3",4540,5107,2931,2542
"ENSG00000131910.4_2",1432,1768,2431,2323
"ENSG00000175707.8_2",49,82,59,73
"ENSG00000253368.3_4",2205,2030,2726,2848
"ENSG00000158246.7_3",10,5,2,9
"ENSG00000090020.10_2",529,537,506,563
"ENSG00000214973.3_4",20,17,10,1
"ENSG00000225159.1_4",23,28,7,7
"ENSG00000142784.15_2",480,584,674,668
"ENSG00000186501.14_4",287,286,336,245
"ENSG00000241547.1_4",8,6,6,1
"ENSG00000142765.17_4",220,299,372,332
"ENSG00000142733.15_4",101,146,56,58
"ENSG00000181773.6_2",100,114,83,94
"ENSG00000158195.10_2",3259,3670,2223,2187
"ENSG00000237429.1_5",1,0,7,2
"ENSG00000126705.14_3",430,478,529,500
"ENSG00000235912.1_5",14,13,8,18
"ENSG00000126709.14_2",82,70,249,290
"ENSG00000009780.15_4",195,217,194,166
"ENSG00000117758.13_3",529,529,395,378
"ENSG00000117751.17_3",1097,1121,590,539
"ENSG00000130775.15_2",21,21,9,11
"ENSG00000117748.9_2",661,719,399,368
"ENSG00000130768.14_3",40,29,7,12
"ENSG00000158156.7_2",112,109,131,157
"ENSG00000158161.15_4",700,768,536,528
"ENSG00000228589.3_4",20,20,17,6
"ENSG00000169403.11_2",76,82,42,49
"ENSG00000126698.10_2",3468,3859,1580,1534
"ENSG00000130770.17_3",1739,1961,1964,2051
"ENSG00000270605.1_5",42,48,90,67
"ENSG00000130766.4_2",315,349,538,529
"ENSG00000130772.13_2",131,203,145,129
"ENSG00000204138.12_3",2796,3039,2378,2460
"ENSG00000180198.16_4",1428,1835,510,432
"ENSG00000242125.3_4",1293,1516,827,813
"ENSG00000200087.1",20,21,12,14
"ENSG00000238821.1",5,7,4,7
"ENSG00000180098.9_2",140,195,107,89
"ENSG00000197989.14_5",270,343,312,264
"ENSG00000120656.11_2",529,545,333,335
"ENSG00000188060.7_2",322,543,403,350
"ENSG00000162419.12_2",193,230,131,123
"ENSG00000198492.15_5",1275,1404,973,865
"ENSG00000233427.1_5",3,2,3,5
"ENSG00000159023.21_5",2113,2443,1397,1225
"ENSG00000253304.1_2",55,56,41,46
"ENSG00000116350.16_4",3131,3534,2143,2013
"ENSG00000116353.15_3",154,184,140,143
"ENSG00000060656.19_3",1411,1786,1523,1336
"ENSG00000162510.5_2",2,2,1,5
"ENSG00000186056.10_5",3,5,2,5
"ENSG00000162511.7_2",105,54,13,16
"ENSG00000223382.4_4",5,2,0,0
"ENSG00000162512.15_4",1104,822,296,340
"ENSG00000134644.15_3",4227,4677,2840,2808
"ENSG00000200154.1",0,5,1,0
"ENSG00000084628.9_2",52,43,20,24
"ENSG00000060688.12_3",662,766,439,365
"ENSG00000229447.2_5",4,2,7,1
"ENSG00000121766.15_4",1057,1089,514,495
"ENSG00000168528.11_3",1018,1303,3155,3139
"ENSG00000284543.1_3",5,1,7,2
"ENSG00000229167.1_5",16,23,20,13
"ENSG00000142910.15_2",243,371,475,483
"ENSG00000162517.12_2",570,656,451,442
"ENSG00000084636.17_4",495,636,581,550
"ENSG00000121753.12_4",8,3,4,1
"ENSG00000134668.12_4",7,7,5,2
"ENSG00000184007.20_5",3455,3596,2575,2511
"ENSG00000121774.17_2",4154,4869,2297,2161
"ENSG00000121775.17_2",144,165,114,111
"ENSG00000025800.13_3",1955,2159,1564,1610
"ENSG00000084652.15_2",2267,2744,2100,1998
"ENSG00000160050.14_3",20,18,18,22
"ENSG00000224066.1_5",10,9,12,5
"ENSG00000160051.11_3",102,117,49,34
"ENSG00000160055.19_2",98,104,104,69
"ENSG00000084623.11_2",2694,2983,2204,2222
"ENSG00000220785.7_4",85,107,121,118
"ENSG00000183615.5_2",9,9,7,9
"ENSG00000182866.16_3",89,83,9,8
"ENSG00000116478.11_4",1829,2092,1607,1467
"ENSG00000175130.6_2",4353,4882,2167,2205
"ENSG00000233775.1_5",2,2,6,8
"ENSG00000162526.6_2",28,26,19,26
"ENSG00000225828.1_5",283,349,586,512
"ENSG00000160058.18_2",1417,1555,1788,1648
"ENSG00000273274.1_3",4,3,6,4
"ENSG00000160062.14_3",82,60,62,80
"ENSG00000176261.15_5",617,706,529,478
"ENSG00000162521.18_5",3278,3669,2396,2083
"ENSG00000162520.14_4",210,207,164,127
"ENSG00000162522.10_2",1731,1940,1095,1039
"ENSG00000134684.10_2",1830,2232,1732,1542
"ENSG00000116497.17_3",757,803,655,579
"ENSG00000160097.17_4",15,18,83,74
"ENSG00000121900.18_2",22,29,10,14
"ENSG00000116514.16_3",358,408,286,264
"ENSG00000004455.16_2",2451,3270,2056,1859
